cell_line,row,column,well,seeding_density,condition
RH-30,M,10,M10,8000,synthemax
RH-30,M,11,M11,12000,synthemax
RH-30,M,12,M12,12000,synthemax
U2-OS,M,13,M13,1000,synthemax
U2-OS,M,14,M14,1000,synthemax
U2-OS,M,15,M15,2000,synthemax
U2-OS,M,16,M16,2000,synthemax
U2-OS,M,17,M17,4000,synthemax
U2-OS,M,18,M18,4000,synthemax
U2-OS,M,19,M19,8000,synthemax
U2-OS,M,20,M20,8000,synthemax
U2-OS,M,21,M21,12000,synthemax
U2-OS,M,22,M22,12000,synthemax
RH-30,N,3,N03,1000,synthemax
RH-30,N,4,N04,1000,synthemax
RH-30,N,5,N05,2000,synthemax
RH-30,N,6,N06,2000,synthemax
RH-30,N,7,N07,4000,synthemax
RH-30,N,8,N08,4000,synthemax
RH-30,N,9,N09,8000,synthemax
RH-30,N,10,N10,8000,synthemax
RH-30,N,11,N11,12000,synthemax
RH-30,N,12,N12,12000,synthemax
U2-OS,N,13,N13,1000,synthemax
U2-OS,N,14,N14,1000,synthemax
U2-OS,N,15,N15,2000,synthemax
U2-OS,N,16,N16,2000,synthemax
U2-OS,N,17,N17,4000,synthemax
U2-OS,N,18,N18,4000,synthemax
U2-OS,N,19,N19,8000,synthemax
U2-OS,N,20,N20,8000,synthemax
U2-OS,N,21,N21,12000,synthemax
U2-OS,N,22,N22,12000,synthemax
